"Name","Country","IP","Company"
"Holtsville NY","US West","208.67.222.220","Opendns"
"Brooklyn","US East","98.113.146.9","Sprint"
"Brossard","Canada","208.79.56.204","Fibernetics Corporation"
"Yekaterinburg","Russia","195.46.39.39","Skydns"
"Johannesburg","South Africa","197.189.234.82","Hetzner (Pty) Ltd"
"Roosendaal","Netherlands","185.107.80.84","NForce Entertainment B.V."
"Paris","France","163.172.107.158","Online S.A.S. "
"Bern","Switzerland","217.193.239.170","Swisscom AG"
"London","UK","158.43.128.1","Verizon UK Limited"
"Santa Cruz do Sul","Brazil","200.248.178.54","Claro S.A"
"Kuala Lumpur","Malaysia","103.26.250.4","Ohana Communications Sdn Bhd"
"Singapore","Singapore","210.80.58.67","Verizon Business"
"Seoul","South Korea","164.124.101.2","LG Dacom Corporation"
"China","China","114.114.115.119","International Pioneering Park"
"Kota","India","115.178.96.2","Kappa Internet Services Private Limited"
"Alexandria","Australia","203.188.217.10","Vertical Telecoms Broadband"
"Auckland","New Zealand","122.56.107.86","Global-Gateway Internet"
"Antalya","Turkey","31.7.37.37","Teknet Yazlim"
"Unbound","Home","192.168.1.50","PI Recursive DNS"
"Google","Google","8.8.8.8","Google"
"CloudFlare","CloudFlare","1.1.1.1","CloudFlare"
